company,id,title,location,url,notes
stripe,6042172,"Backend Engineer, Core Technology",Seattle,https://stripe.com/jobs/listing/backend-engineer-core-technology/6042172,""
stripe,6042172,"Backend Engineer, Core Technology",South San Francisco HQ,https://stripe.com/jobs/listing/backend-engineer-core-technology/6042172,""
stripe,6163230,"Backend Engineer, Payments and Risk",New York,https://stripe.com/jobs/listing/backend-engineer-payments-and-risk/6163230,""
stripe,6163230,"Backend Engineer, Payments and Risk",Seattle,https://stripe.com/jobs/listing/backend-engineer-payments-and-risk/6163230,""
stripe,6163230,"Backend Engineer, Payments and Risk",South San Francisco HQ,https://stripe.com/jobs/listing/backend-engineer-payments-and-risk/6163230,""
stripe,6163230,"Backend Engineer, Payments and Risk",Toronto,https://stripe.com/jobs/listing/backend-engineer-payments-and-risk/6163230,""
stripe,6395069,"Account Executive, Platforms (Existing Business)",South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-platforms-existing-business/6395069,""
stripe,6395069,"Account Executive, Platforms (Existing Business)",New York,https://stripe.com/jobs/listing/account-executive-platforms-existing-business/6395069,""
stripe,6433160,"Account Executive, Enterprise Japan",Tokyo,https://stripe.com/jobs/listing/account-executive-enterprise-japan/6433160,""
stripe,6567253,"Backend Engineer, Core Tech, Canada",Toronto,https://stripe.com/jobs/listing/backend-engineer-core-tech-canada/6567253,""
stripe,6623777,"Backend Engineer, Infrastructure",Bucharest,https://stripe.com/jobs/listing/backend-engineer-infrastructure/6623777,""
stripe,6755272,"Account Executive, Enterprise (Existing Business)",Remote in United States,https://stripe.com/jobs/listing/account-executive-enterprise-existing-business/6755272,""
stripe,6755526,"Account Executive, Enterprise (New Business)",Chicago,https://stripe.com/jobs/listing/account-executive-enterprise-new-business/6755526,""
stripe,6755526,"Account Executive, Enterprise (New Business)",New York,https://stripe.com/jobs/listing/account-executive-enterprise-new-business/6755526,""
stripe,6755526,"Account Executive, Enterprise (New Business)",Seattle,https://stripe.com/jobs/listing/account-executive-enterprise-new-business/6755526,""
stripe,6755526,"Account Executive, Enterprise (New Business)",Remote in United States,https://stripe.com/jobs/listing/account-executive-enterprise-new-business/6755526,""
stripe,6865161,"Backend Engineer, Data",Toronto,https://stripe.com/jobs/listing/backend-engineer-data/6865161,""
stripe,6865161,"Backend Engineer, Data",Remote in Canada,https://stripe.com/jobs/listing/backend-engineer-data/6865161,""
stripe,6917719,AMER GTM Finance & Strategy Segment Lead,South San Francisco HQ,https://stripe.com/jobs/listing/amer-gtm-finance-strategy-segment-lead/6917719,""
stripe,6917719,AMER GTM Finance & Strategy Segment Lead,New York,https://stripe.com/jobs/listing/amer-gtm-finance-strategy-segment-lead/6917719,""
stripe,6931807,"Account Executive, BaaS Product Sales (German Speaking)",Berlin,https://stripe.com/jobs/listing/account-executive-baas-product-sales-german-speaking/6931807,""
stripe,6931807,"Account Executive, BaaS Product Sales (German Speaking)",London,https://stripe.com/jobs/listing/account-executive-baas-product-sales-german-speaking/6931807,""
stripe,6982328,APAC Product Marketing Lead,Singapore,https://stripe.com/jobs/listing/apac-product-marketing-lead/6982328,""
stripe,6982328,APAC Product Marketing Lead,Sydney,https://stripe.com/jobs/listing/apac-product-marketing-lead/6982328,""
stripe,6982328,APAC Product Marketing Lead,Melbourne,https://stripe.com/jobs/listing/apac-product-marketing-lead/6982328,""
stripe,6989261,"Account Executive, Enterprise Platforms, Hunter",New York,https://stripe.com/jobs/listing/account-executive-enterprise-platforms-hunter/6989261,""
stripe,6989261,"Account Executive, Enterprise Platforms, Hunter",Remote in United States,https://stripe.com/jobs/listing/account-executive-enterprise-platforms-hunter/6989261,""
stripe,6989261,"Account Executive, Enterprise Platforms, Hunter",Chicago,https://stripe.com/jobs/listing/account-executive-enterprise-platforms-hunter/6989261,""
stripe,7079946,APAC Integration Engineer (Customer facing),Singapore,https://stripe.com/jobs/listing/apac-integration-engineer-customer-facing/7079946,""
stripe,7089532,Accounting Analyst - Revenue,Bengaluru,https://stripe.com/jobs/listing/accounting-analyst-revenue/7089532,""
stripe,7099651,"Account Executive, Enterprise",Toronto,https://stripe.com/jobs/listing/account-executive-enterprise/7099651,""
stripe,7099651,"Account Executive, Enterprise",Remote in Canada,https://stripe.com/jobs/listing/account-executive-enterprise/7099651,""
stripe,7118945,Accounts Receivable Manager,Bengaluru,https://stripe.com/jobs/listing/accounts-receivable-manager/7118945,""
stripe,7182617,"Backend Engineer, Core Technology",Dublin HQ,https://stripe.com/jobs/listing/backend-engineer-core-technology/7182617,""
stripe,7195991,"Analytics Lead, Privy",New York,https://stripe.com/jobs/listing/analytics-lead-privy/7195991,""
stripe,7215691,"Account Executive, Product Sales, Radar (NYC)",New York,https://stripe.com/jobs/listing/account-executive-product-sales-radar-nyc/7215691,""
stripe,7215691,"Account Executive, Product Sales, Radar (NYC)",Chicago,https://stripe.com/jobs/listing/account-executive-product-sales-radar-nyc/7215691,""
stripe,7215691,"Account Executive, Product Sales, Radar (NYC)",Remote in United States,https://stripe.com/jobs/listing/account-executive-product-sales-radar-nyc/7215691,""
stripe,7217288,"Account Executive, Platforms (Strategics)",South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-platforms-strategics/7217288,""
stripe,7218796,"Account Executive, Platforms (New Business)",Chicago,https://stripe.com/jobs/listing/account-executive-platforms-new-business/7218796,""
stripe,7245456,AMER Sales Strategy and Operations Analyst,Remote in United States,https://stripe.com/jobs/listing/amer-sales-strategy-and-operations-analyst/7245456,""
stripe,7247667,"Account Executive, Product Sales - Radar",Singapore,https://stripe.com/jobs/listing/account-executive-product-sales-radar/7247667,""
stripe,7271674,"Account Executive, Platforms (Grower)",South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-platforms-grower/7271674,""
stripe,7271674,"Account Executive, Platforms (Grower)",New York,https://stripe.com/jobs/listing/account-executive-platforms-grower/7271674,""
stripe,7277104,APAC People Consultant,Singapore,https://stripe.com/jobs/listing/apac-people-consultant/7277104,""
stripe,7286376,"AI/ML Engineering Manager, Payment Intelligence",Remote in United States,https://stripe.com/jobs/listing/ai-ml-engineering-manager-payment-intelligence/7286376,""
stripe,7292520,"Backend Engineer, DEeP",Toronto,https://stripe.com/jobs/listing/backend-engineer-deep/7292520,""
stripe,7294290,"Account Executive, Platforms",Singapore,https://stripe.com/jobs/listing/account-executive-platforms/7294290,""
stripe,7297049,"Account Executive, Existing Business - Startups",Melbourne,https://stripe.com/jobs/listing/account-executive-existing-business-startups/7297049,""
stripe,7297049,"Account Executive, Existing Business - Startups",Sydney,https://stripe.com/jobs/listing/account-executive-existing-business-startups/7297049,""
stripe,7302534,"Account Executive, Product Sales (Radar)",New York,https://stripe.com/jobs/listing/account-executive-product-sales-radar/7302534,""
stripe,7302534,"Account Executive, Product Sales (Radar)",Chicago,https://stripe.com/jobs/listing/account-executive-product-sales-radar/7302534,""
stripe,7302534,"Account Executive, Product Sales (Radar)",Remote in United States,https://stripe.com/jobs/listing/account-executive-product-sales-radar/7302534,""
stripe,7302534,"Account Executive, Product Sales (Radar)",South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-product-sales-radar/7302534,""
stripe,7302943,"Account Executive, Enterprise (Existing Business)",Remote in United States,https://stripe.com/jobs/listing/account-executive-enterprise-existing-business/7302943,""
stripe,7302943,"Account Executive, Enterprise (Existing Business)",New York,https://stripe.com/jobs/listing/account-executive-enterprise-existing-business/7302943,""
stripe,7302943,"Account Executive, Enterprise (Existing Business)",Chicago,https://stripe.com/jobs/listing/account-executive-enterprise-existing-business/7302943,""
stripe,7302943,"Account Executive, Enterprise (Existing Business)",South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-enterprise-existing-business/7302943,""
stripe,7306915,"Account Executive, Commercial (Existing Business)",Chicago,https://stripe.com/jobs/listing/account-executive-commercial-existing-business/7306915,""
stripe,7306915,"Account Executive, Commercial (Existing Business)",Remote in United States,https://stripe.com/jobs/listing/account-executive-commercial-existing-business/7306915,""
stripe,7311137,"Android Engineer, Link",Toronto,https://stripe.com/jobs/listing/android-engineer-link/7311137,""
stripe,7313132,"Account Executive, Startups/ SMB, Grower, New Zealand",Remote in New Zealand,https://stripe.com/jobs/listing/account-executive-startups-smb-grower-new-zealand/7313132,""
stripe,7317016,"Account Executive, Enterprise AUNZ",Melbourne,https://stripe.com/jobs/listing/account-executive-enterprise-aunz/7317016,""
stripe,7317016,"Account Executive, Enterprise AUNZ",Sydney,https://stripe.com/jobs/listing/account-executive-enterprise-aunz/7317016,""
stripe,7334719,"Account Executive, Platforms, New Zealand",Remote in New Zealand,https://stripe.com/jobs/listing/account-executive-platforms-new-zealand/7334719,""
stripe,7336750,Account Executive - Enterprise,Mexico City,https://stripe.com/jobs/listing/account-executive-enterprise/7336750,""
stripe,7339170,"Account Executive, SMB Platforms (New Business)",New York,https://stripe.com/jobs/listing/account-executive-smb-platforms-new-business/7339170,""
stripe,7339170,"Account Executive, SMB Platforms (New Business)",Chicago,https://stripe.com/jobs/listing/account-executive-smb-platforms-new-business/7339170,""
stripe,7339700,"Account Executive, Startup Platforms (Existing Business)",South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-startup-platforms-existing-business/7339700,""
stripe,7339700,"Account Executive, Startup Platforms (Existing Business)",New York,https://stripe.com/jobs/listing/account-executive-startup-platforms-existing-business/7339700,""
stripe,7343682,"Account Executive, Commercial - German Speaking",Dublin HQ,https://stripe.com/jobs/listing/account-executive-commercial-german-speaking/7343682,""
stripe,7343686,"Account Executive, Commercial - DACH",Remote in Germany,https://stripe.com/jobs/listing/account-executive-commercial-dach/7343686,""
stripe,7343686,"Account Executive, Commercial - DACH",Berlin,https://stripe.com/jobs/listing/account-executive-commercial-dach/7343686,""
stripe,7350884,"Account Executive, AI Startups - Existing Business",South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-ai-startups-existing-business/7350884,""
stripe,7351467,Accounting Analyst - Product Accounting - MaaS Accounting,Bengaluru,https://stripe.com/jobs/listing/accounting-analyst-product-accounting-maas-accounting/7351467,""
stripe,7351469,Accounting Analyst - Product Accounting - Processing Cost,Bengaluru,https://stripe.com/jobs/listing/accounting-analyst-product-accounting-processing-cost/7351469,""
stripe,7353623,"Account Executive, Platforms (French Speaking)",Dublin HQ,https://stripe.com/jobs/listing/account-executive-platforms-french-speaking/7353623,""
stripe,7358785,Accounting - Legal Entity Controller,Bengaluru,https://stripe.com/jobs/listing/accounting-legal-entity-controller/7358785,""
stripe,7360314,"Associate, Services Consulting",Chicago,https://stripe.com/jobs/listing/associate-services-consulting/7360314,""
stripe,7362629,"Account Executive, Funded Startups (Existing Business)",Chicago,https://stripe.com/jobs/listing/account-executive-funded-startups-existing-business/7362629,""
stripe,7362629,"Account Executive, Funded Startups (Existing Business)",South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-funded-startups-existing-business/7362629,""
stripe,7363826,Account Executive -Mexico (SSMB),Mexico City,https://stripe.com/jobs/listing/account-executive-mexico-ssmb/7363826,""
stripe,7365228,"Account Executive, Startup SaaS Platforms - German Speaking",Dublin HQ,https://stripe.com/jobs/listing/account-executive-startup-saas-platforms-german-speaking/7365228,""
stripe,7368883,"Account Executive, Commercial (New Business)",Chicago,https://stripe.com/jobs/listing/account-executive-commercial-new-business/7368883,""
stripe,7369543,"Backend / API Engineer, Payouts",London,https://stripe.com/jobs/listing/backend-api-engineer-payouts/7369543,""
stripe,7374073,"Account Executive, AI Sales",South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-ai-sales/7374073,""
stripe,7374078,"Account Executive, AI Sales",South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-ai-sales/7374078,""
stripe,7379882,Backend Engineer,Dublin HQ,https://stripe.com/jobs/listing/backend-engineer/7379882,""
stripe,7391719,"Account Executive, Funded Startups",London,https://stripe.com/jobs/listing/account-executive-funded-startups/7391719,""
stripe,7394627,"Account Executive, Iberia",Madrid,https://stripe.com/jobs/listing/account-executive-iberia/7394627,""
stripe,7396862,"Account Executive, Funded Startups",Dublin HQ,https://stripe.com/jobs/listing/account-executive-funded-startups/7396862,""
stripe,7413140,"Account Executive, Product (Crypto Sales)",New York,https://stripe.com/jobs/listing/account-executive-product-crypto-sales/7413140,""
stripe,7413140,"Account Executive, Product (Crypto Sales)",Remote in United States,https://stripe.com/jobs/listing/account-executive-product-crypto-sales/7413140,""
stripe,7416016,"Account Executive, Product - Disputes",Remote in United States,https://stripe.com/jobs/listing/account-executive-product-disputes/7416016,""
stripe,7418984,"Account Executive, Platforms (Spanish - Speaking)",Dublin HQ,https://stripe.com/jobs/listing/account-executive-platforms-spanish-speaking/7418984,""
stripe,7430232,"Account Executive, Enterprise - Public Sector (New Business)",Washington DC,https://stripe.com/jobs/listing/account-executive-enterprise-public-sector-new-business/7430232,""
stripe,7430232,"Account Executive, Enterprise - Public Sector (New Business)",Chicago,https://stripe.com/jobs/listing/account-executive-enterprise-public-sector-new-business/7430232,""
stripe,7430232,"Account Executive, Enterprise - Public Sector (New Business)",South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-enterprise-public-sector-new-business/7430232,""
stripe,7430232,"Account Executive, Enterprise - Public Sector (New Business)",New York,https://stripe.com/jobs/listing/account-executive-enterprise-public-sector-new-business/7430232,""
stripe,7430232,"Account Executive, Enterprise - Public Sector (New Business)",Remote in United States,https://stripe.com/jobs/listing/account-executive-enterprise-public-sector-new-business/7430232,""
